sample_id,active_metal,metal_loading_wt,promoter,promoter_loading_wt,support_material,synthesis_method,calcination_temperature,calcination_time,reaction_temperature,pressure,gas_hourly_space_velocity,co2_ch4_ratio,ch4_conversion,co2_conversion,h2_co_ratio,catalyst_stability
catalyst_001,Pd,7.84127013286822,Ca,2.9578827430920844,CeO2,coprecipitation,588.0760733264563,2.505879856507101,734.5859671011611,2.181457091318969,16679.649515849214,1.0714015962698888,63.84294069390397,69.70407675903184,0.7504185732711884,59.303656707180004
catalyst_002,Rh,6.241630608860244,Ce,0.03857238214806577,ZrO2,incipient_wetness,420.710591751648,4.168250753561786,716.2379491816895,1.280902666513211,51336.117028261615,0.9085040398575741,68.9620812385237,67.35493958124391,0.6914343585324804,79.06697850324962
catalyst_003,Pt,7.248016886578034,Ca,2.1593567444560717,CeO2,incipient_wetness,403.20145446430126,5.80938301962595,764.7050107106902,2.612794415254681,9079.581080348255,0.8721924149470389,72.47521128080673,79.80863939710605,0.7253827965456777,54.1826813279701
catalyst_004,Ru,2.6484796301727354,Ce,4.097302811310617,ZrO2,sol_gel,568.8542654556524,2.788272412415495,769.7038199522611,1.0948417901242817,41850.019256015774,0.958680997253981,68.66750081305028,67.00965656800533,0.8237948998814068,53.10916374298588
catalyst_005,Pd,3.6876246861467354,Ce,2.1971489389813352,TiO2,wet_impregnation,521.9383209257714,5.280352771996321,683.6483017066151,1.8003389039772564,32759.92193664067,0.8629050451292328,61.18273450003056,60.05415798955587,0.786142291124257,78.53166301363322
catalyst_006,Co,9.094913252208737,La,4.4528846221268354,Al2O3,sol_gel,587.0583875777043,2.176044323161305,712.7124138071745,3.6263032549227128,36240.599991243806,1.0493537069128966,46.038949201466416,45.34792011244057,0.5827905489931013,82.78516955630188
catalyst_007,Ni,3.371342112313681,Ca,1.253250866136244,SiO2,wet_impregnation,425.678357227441,4.789402069292157,633.6560169855202,2.835711074756379,17701.088919671394,1.1619859150654162,53.960023510896704,58.824697951958676,0.4949584926292099,65.83566148128558
catalyst_008,Rh,2.933191211588376,Mg,0.36096710114309166,MgO,sol_gel,511.5043815142476,2.507084003104165,877.0897320557511,4.0692816334782975,36472.507992471896,1.1575540966053723,71.78808254420524,76.89970273949069,1.1170399010744871,66.39613250036751
catalyst_009,Pd,2.0404066303251134,Ce,1.240517471567879,TiO2,sol_gel,584.9267678517476,5.404817568531611,857.6069859567355,1.0083097439979867,29330.17833618712,0.9751673484488669,78.03717590447923,71.85747702522367,0.9851093874962151,56.123206492156065
catalyst_010,Ni,1.1986682918433664,K,1.6470529482892082,Al2O3,incipient_wetness,506.755196337755,4.695608782474553,812.8569259062127,1.6933257179561312,50905.04520486742,0.9021165959443563,63.05375263783861,56.74595751469069,1.0058470513883147,92.22022722079379
